u2	i0	0.52
u2	i4	0.52
u3	i0	2.16
u3	i1	1.9
u3	i4	0.26
u5	i0	1.84
u5	i1	1.23
u5	i2	0.03
u5	i4	0.58
u6	i0	2.47
u6	i1	1.55
u6	i2	0.02
u6	i4	0.9
u7	i0	0.93
u7	i4	0.93
u8	i0	0.05
u8	i4	0.05
u9	i0	2.23
u9	i1	1.29
u9	i2	0.14
u9	i3	0.04
u9	i4	0.76
u10	i0	0.23
u10	i1	0.11
u10	i4	0.12
u12	i0	1.86
u12	i1	1.83
u12	i4	0.03
u15	i0	2.84
u15	i1	2.5
u15	i2	0.03
u15	i3	0.05
u15	i4	0.27
u17	i0	0.14
u17	i2	0.14
u18	i0	2.19
u18	i4	2.19
u19	i0	0.65
u19	i1	0.59
u19	i4	0.06
u21	i0	0.06
u21	i1	0.06
u23	i0	1.56
u23	i1	0.71
u23	i2	0.1
u23	i3	0.36
u23	i4	0.39
u25	i0	1.62
u25	i1	0.6
u25	i3	0.04
u25	i4	0.99
u26	i0	0.01
u26	i4	0.01
u28	i0	2.47
u28	i1	1.75
u28	i3	0.03
u28	i4	0.7
u29	i0	0.12
u29	i3	0.06
u29	i4	0.06
u30	i0	3.39
u30	i1	2.52
u30	i2	0.01
u30	i3	0.01
u30	i4	0.85
u31	i0	2.78
u31	i1	1.63
u31	i4	1.15
u32	i0	2.61
u32	i1	2.16
u32	i2	0.06
u32	i3	0.04
u32	i4	0.35
u33	i0	4.08
u33	i1	2.32
u33	i2	0.18
u33	i3	0.09
u33	i4	1.5
u35	i0	0.27
u35	i4	0.27
u36	i0	0.67
u36	i1	0.67
u39	i0	2.96
u39	i1	2.52
u39	i2	0.29
u39	i3	0.1
u39	i4	0.05
u40	i0	0.43
u40	i1	0.3
u40	i4	0.12
u42	i0	2.57
u42	i1	1.71
u42	i2	0.04
u42	i3	0.01
u42	i4	0.81
u43	i0	2.19
u43	i1	1.46
u43	i2	0.39
u43	i4	0.34
u45	i0	2.27
u45	i1	1.93
u45	i2	0.01
u45	i4	0.34
u46	i0	1.01
u46	i1	0.95
u46	i4	0.06
u47	i0	2.08
u47	i1	1.32
u47	i4	0.76
u49	i0	3.09
u49	i1	1.6
u49	i2	0.1
u49	i4	1.38
u51	i0	2.89
u51	i1	2.17
u51	i2	0.19
u51	i3	0.07
u51	i4	0.46
u52	i0	1.93
u52	i1	1.06
u52	i2	0.31
u52	i4	0.56
u53	i0	2.26
u53	i1	1.34
u53	i2	0.03
u53	i4	0.89
u55	i0	2.81
u55	i1	2.2
u55	i2	0.06
u55	i4	0.56
u56	i0	0.32
u56	i4	0.32
u57	i0	1.6
u57	i1	0.98
u57	i2	0.01
u57	i4	0.61
u59	i0	2.11
u59	i1	1.22
u59	i4	0.89
u60	i0	2.23
u60	i1	1.73
u60	i4	0.51
u62	i0	0.29
u62	i4	0.29
u63	i0	3.37
u63	i1	3.05
u63	i2	0.04
u63	i3	0.06
u63	i4	0.22
u64	i0	2.03
u64	i1	1.91
u64	i2	0.07
u64	i3	0.01
u64	i4	0.04
u65	i0	2.4
u65	i1	2.2
u65	i4	0.21
u67	i0	0.26
u67	i4	0.26
u68	i0	0.01
u68	i4	0.01
u69	i0	0.99
u69	i1	0.48
u69	i3	0.43
u69	i4	0.08
u70	i0	3.1
u70	i1	1.38
u70	i2	0.21
u70	i4	1.51
u71	i0	5.53
u71	i1	4.02
u71	i3	0.3
u71	i4	1.21
u72	i0	2.36
u72	i1	0.76
u72	i2	0.1
u72	i3	0.04
u72	i4	1.46
u73	i0	0.25
u73	i1	0.03
u73	i3	0.02
u73	i4	0.21
u74	i1	0.61
u74	i4	0.54
u76	i0	1.79
u76	i1	1.56
u76	i3	0.02
u76	i4	0.21
u79	i0	3.58
u79	i1	1.86
u79	i2	0.23
u79	i3	0.35
u79	i4	1.14
u81	i0	1.36
u81	i1	1.35
u81	i4	0.01
u82	i0	0.31
u82	i1	0.28
u82	i4	0.03
u85	i0	2.57
u85	i1	1.34
u85	i2	0.09
u85	i4	1.13
u87	i0	0.47
u87	i1	0.41
u87	i4	0.06
u88	i0	0.01
u88	i4	0.01
u89	i0	1.07
u89	i1	0.98
u89	i3	0.05
u89	i4	0.04
u90	i0	0.7
u90	i1	0.66
u90	i4	0.04
u91	i0	0.453757559998797
u91	i1	0.219939004905338
u91	i3	0.0187246657124623
u91	i4	0.215093889380998
u92	i0	2.42
u92	i1	2.06
u92	i2	0.11
u92	i3	0.03
u92	i4	0.22
u93	i0	2.44
u93	i1	1.83
u93	i2	0.01
